Authors,Title,JournalFullName,JournalShortName,Link,CCF,Type,PublicationDetail
"Zhenyu Guo and Qinghua Shang and Xin Li and Chengyi Li and Zijian Zhang* and Zhuo Zhang* and Jingjing Hu and Jincheng An and Chuanming Huang and Yang CHen and Yuguang Cai","Web-FTP: A Feature Transferring-Based Pre-Trained Model for Web Attack Detection","IEEE Transactions on Knowledge and Data Engineering","TKDE","https://ieeexplore.ieee.org/document/10854996","CCF A","Journal","2025, 37(3): 1495-1507"
"Meng Li and Yifei Chen and Jianbo Gao* and Jingyu Wang and Zijian Zhang* and Jialing He and Liehuang Zhu and Mauro Conti and Xiaodong Lin","Accurate, Secure, and Efficient Semi-Constrained Navigation Over Encrypted City Maps","IEEE Transactions on Dependable and Secure Computing","TDSC","https://ieeexplore.ieee.org/document/10812677","CCF A","Journal","2025, 22(3): 2642-2658"
"Zhuo Chen and Liehuang Zhu and Peng Jiang* and Jialing He and Zijian Zhang*","A Generic Blockchain-based Steganography Framework with High Capacity via Reversible GAN","Proceeding of 2024 IEEE International Conference on Computer Communications","INFOCOM","https://ieeexplore.ieee.org/document/10621377","CCF A","Conference","2024: 241-250"
"Zhiyuan Wei and Jing Sun and Zijian Zhang* and Xianhao Zhang and Xiaoxuan Yang and Liehuang Zhu","Survey on Quality Assurance of Smart Contracts","ACM Computing Surveys","CSUR","https://dl.acm.org/doi/abs/10.1145/3695864","","Journal","2024, 57(2): 1-36"
"Zijian Zhang and Xin Lu and Meng Li* and Jincheng An and Yang Yu and Hao Yin and Liehuang Zhu and Yong Liu* and Jiamou Liu and Bakh Khoussainov","A Blockchain-based Privacy-Preserving Scheme for Sealed-bid Auction","IEEE Transactions on Dependable and Secure Computing","TDSC","https://ieeexplore.ieee.org/document/10584087","CCF A","Journal","2024, 21(5):4668-4683"
"Zhenyu Guo and Xin Li and Jiamou Liu and Zijian Zhang* and Meng Li* and Jingjing Hu and Liehuang Zhu","Graph-based Covert Transaction Detection and Protection in Blockchain","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/10375526","CCF A","Journal","2024, 19: 2244-2257"
"Xuyang Liu and Kaiyu Feng and Zijian Zhang* and Meng Li* and Xi Chen and Wenqian Lai and Liehuang Zhu","Dolphin: Efficient Non-Blocking Consensus via Concurrent Block Generation","IEEE Transactions on Mobile Computing","TMC","https://ieeexplore.ieee.org/document/10529599","CCF A","Journal","2024, 23(12): 11824-11838"
"Liehuang Zhu and Zijian Zhang and Xiaobing Chen and Shengsheng Zhang and Kun Wang and Yan Xu","Network Attack and Defence Practice Research: Vulnerability Exploitation and Privilege Lifting","","Monograph","","","Book",""
"Meng Li and Mingwei Zhang and Liehuang Zhu and Zijian Zhang* and Mauro Conti and Mamoun Alazab","Decentralized and Privacy-Preserving Smart Parking with Secure Repetition and Full Verifiability","IEEE Transactions on Mobile Computing","TMC","https://ieeexplore.ieee.org/document/10521781","CCF A","Journal","2024, 23(12): 11635-11654"
"Zijian Zhang and Xuyang Liu and Kaiyu Feng and Mingchao Wan and Meng Li* and Jin Dong and Liehuang Zhu*","Phantasm: Adaptive Scalable Mining Toward Stable BlockDAG","IEEE Transactions on Services Computing","TSC","https://ieeexplore.ieee.org/document/10286108","CCF A","Journal","2024, 17(3): 1084-1096"
"Meng Li and Yanzhe Shen and Guixin Ye and Jialing He and Xin Zheng and Zijian Zhang* and Liehuang Zhu* and Mauro Conti","Anonymous, Secure, Traceable, and Efficient Decentralized Digital Forensics","IEEE Transactions on Knowledge and Data Engineering","TKDE","https://ieeexplore.ieee.org/abstract/document/10269710","CCF A","Journal","2024, 36(5): 1874-1888"
"Zijian Zhang and Xuyang Liu and Meng Li* and Hao Yin and Liehuang Zhu* and Bakh Khoussainov and Keke Gai","HCA: Hashchain-based Consensus Acceleration via Re-voting","IEEE Transactions on Dependable and Secure Computing","TDSC","https://ieeexplore.ieee.org/document/10083306","CCF A","Journal","2024, 21(2): 775-788"
"Meng Li and Jianbo Gao and Liehuang Zhu and Zijian Zhang* and Chhagan Lal and Mauro Conti","Time-Restricted, Verifiable, and Efficient Query Processing over Encrypted Data on Cloud","IEEE Transactions on Services Computing","TSC","https://ieeexplore.ieee.org/document/10238820","CCF A","Journal","2024, 17(3): 1239-1251"
"Meng Li and Jianbo Gao and Zijian Zhang* and Mauro Conti and Mamoun Alazab","Secure, Available, Verifiable, and Efficient Range Query Processing on Outsourced Datasets","Proceedings of 2024 IEEE International Conference on Communications","ICC","https://ieeexplore.ieee.org/document/10622526","","Conference","2024: 1376-1381"
"Jialing He and Jiamou Liu and Zijian Zhang* and Yang Chen and Yiwei Liu and Bakh Khoussainov and Liehuang Zhu","MSDC: Exploiting Multi-State Power Consumption in Non-Intrusive Load Monitoring Based on a Dual-CNN Model","Proceedings of the Thirty-Seventh AAAI Conference on Artificial Intelligence","AAAI","https://dl.acm.org/doi/10.1609/aaai.v37i4.25636","CCF A","Conference","2023: 5078-5086"
"Zeyu Zhang and Jiamou Liu* and Xianda Zheng and Yifei Wang and Pengqian Han and Yupan Wang and Kaiqi Zhao and Zijian Zhang*","RSGNN: A Model-agnostic Approach for Enhancing the Robustness of Signed Graph Neural Networks"," Proceedings of 2023 the ACM Web Conference","WWW","https://dl.acm.org/doi/10.1145/3543507.3583221","CCF A","Conference","2023: 60-70"
"Meng Li and Mingwei Zhang and Qing Wang and Hanni Ding and Weizhi Meng and Liehuang Zhu and Zijian Zhang* and Xiaodong Lin","Decentralized Threshold Signatures with Dynamically Private Accountability","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/10375550","CCF A","Journal","2023, 19: 2217-2030"
"Meng Li and Yifei Chen and Liehuang Zhu* and Zijian Zhang* and Jianbing Ni and Chhagan Lal and Mauro Conti","Astraea: Anonymous and Secure Auditing based on Private Smart Contracts for Donation Systems","IEEE Transactions on Dependable and Secure Computing","TDSC","https://ieeexplore.ieee.org/document/9878045","CCF A","Journal","2023, 20(4): 3002-3018"
"Yiwei Liu and Jiamou Liu and Kaibin Wan and Zhan Qin and Zijian Zhang* and Bakh Khoussainov and Liehuang Zhu*","From Local to Global Norm Emergence: Dissolving Self-reinforcing Substructures with Incremental Social Instruments","Proceedings of the 38th International Conference on Machine Learning","ICML","https://proceedings.mlr.press/v139/liu21n.html","CCF A","Conference","2022:6871-6881"
"Jialing He and Zijian Zhang* and Jian Mao and Liran Ma and Bakh Khoussainov and Rui Jin and Liehuang Zhu*","Video Aficionado: We Know What You Are Watching","IEEE Transactions on Mobile Computing","TMC","https://ieeexplore.ieee.org/document/9298868","CCF A","Journal","2022, 21(8): 3041-3052"
"Liehuang Zhu and Meng Li and Zijian Zhang* and Zhan Qin","ASAP: An Anonymous Smart-parking and Payment Scheme in Vehicular Networks","IEEE Transactions on Dependable and Secure Computing","TDSC","https://ieeexplore.ieee.org/document/8396301","CCF A","Journal","2020, 17(4): 703-715"
"Zijian Zhang and Wenqiang Cao and Zhan Qin and Liehuang Zhu* and Zhengtao Yu and Kui Ren","When privacy meets economics: Enabling differentially-private battery-supported meter reporting in smart grid","Proceedings of the 25th IEEE/ACM International Symposium on Quality of Service","IWQoS","https://ieeexplore.ieee.org/document/7969167","","Conference","2017: 1-9"
"Shuo Wang and Keke Gai* and Jing Yu and Zijian Zhang and Liehuang Zhu","PraVFed: Practical Heterogeneous Vertical Federated Learning via Representation Learning","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/10843771","CCF A","Journal","2025, 20: 2693 - 2705"
"Xiang Zhang and Jie Zhang and Zehua Ma and Jinyang Huang and Meng Li and Huan Yan and Peng Zhao and Zijian Zhang and Bin Liu and Qing Guo and Tianwei Zhang and Nenghai Yu","CamLopa: A Hidden Wireless Camera Localization Framework via Signal Propagation Path Analysis","IEEE Symposium on Security and Privacy","SP","https://ieeexplore.ieee.org/document/11023517","CCF A","Conference","2025: 3653-3671"
"Naiyu Wang and Shen Wang and Meng Li and Longfei Wu and Zijian Zhang and Zhitao Guan* and Liehuang Zhu","Balancing Differential Privacy and Utility: A Relevance-Based Adaptive Private Fine-Tuning Framework for Language Models","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/10795202","CCF A","Journal","2025, 20: 207 - 220"
"Zhixiang He and Jing Chen* and Kun He and Yangyang Gu and Qiyi Deng and Zijian Zhang and Ruiying Du and Qingchuan Zhao and Cong Wu","HeadSonic: Usable Bone Conduction Earphone Authentication via Head-Conducted Sounds", "IEEE Transactions on Mobile Computing", "TMC", "https://ieeexplore.ieee.org/document/10925832","CCF A", "Journal", "2025, 24(9): 7914-7928"
"Zhuo Chen and Liehuang Zhu and Peng Jiang* and Zijian Zhang and Chengxiang Si","Blockchain-Based Covert Communication: A Detection Attack and Efficient Improvement","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/10714428","CCF A","Journal","2024, 19: 9698 - 9713"
"Jialing He and Ning Wang* and Tao Xiang and Yiqiao Wei and Zijian Zhang and Meng Li","ABDP: Accurate Billing on Differentially Private Data Reporting for Smart Grids","IEEE Transactions on Services Computing","TSC","https://ieeexplore.ieee.org/document/10598396","CCF A","Journal","2024, 17(5): 1938 - 1954"
"Meng Li and Liehuang Zhu* and Zijian Zhang and Chhagan Lal and Mauro Conti and Mamoun Alazab","User-Defined Privacy-Preserving Traffic Monitoring Against n-by-1 Jamming Attack","IEEE/ACM Transactions on Networking","ToN","https://ieeexplore.ieee.org/abstract/document/9740483","CCF A","Journal","2022, 30(5): 2060-2073"
"Yiwei Liu and Jiamou Liu and Zijian Zhang and Liehuang Zhu* and Angsheng Li","REM: From Structural Entropy to Community Structure Deception","Proceedings of the 33rd International Conference on Neural Information Processing Systems","NeurIPS","https://dl.acm.org/doi/10.5555/3454287.3455446","CCF A","Conference","2019: 12938-12948"
